127.0.0.1 - - [11/Jun/2018:11:54:17 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:18 +0200] "GET /ProjekatWebP/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:18 +0200] "GET /ProjekatWebP/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:19 +0200] "GET /ProjekatWebP/slike/favicon.ico HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:19 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 8414
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:23 +0200] "GET /ProjekatWebP/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:31 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 8414
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:33 +0200] "GET /ProjekatWebP/Register.html HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:33 +0200] "GET /ProjekatWebP/js/register.js HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:33 +0200] "GET /ProjekatWebP/css/register.css HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:54:34 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:56:09 +0200] "GET /ProjekatWebP/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:56:13 +0200] "GET /ProjekatWebP/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:57:54 +0200] "GET /ProjekatWebP/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:11:57:55 +0200] "GET /ProjekatWebP/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:09:29 +0200] "GET /ProjekatWebP/Index.html HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:09:29 +0200] "GET /ProjekatWebP/css/index.css HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:09:29 +0200] "GET /ProjekatWebP/js/index.js HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:09:29 +0200] "GET /ProjekatWebP/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:09:29 +0200] "GET /ProjekatWebP/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:09:29 +0200] "GET /ProjekatWebP/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 122540
